id,author_id,title,tags,likes,dislikes,views,reading_time,formatted
0,0,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","['ethereum', 'bitcoin', 'system', 'said', 'blockchain']","0","0","1",3.45,False
1,0,"Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump","['latest', 'check', 'rate', 'note', 'ceo']","0","0","0",1.00,False
2,0,"Google Data Center 360° Tour","['center', 'video', 'google', 'data', 'google cloud']","0","0","0",0.87,False
3,0,"IBM Wants to "Evolve the Internet" With Blockchain Technology","['ibm', 'blockchain', 'bitcoin', 'linux', 'technology']","0","0","0",4.39,False
4,0,"IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk","['blockchain', 'computing', 'cloud', 'event', 'conference']","0","0","0",0.90,False
5,0,"Banks Need To Collaborate With Bitcoin and Fintech Developers","['fintech', 'banks', 'bitcoin', 'banking', 'financial']","0","0","0",2.24,False
6,0,"Blockchain Technology Could Put Bank Auditors Out of Work","['blockchain', 'financial', 'trust', 'bitcoin', 'system']","0","0","0",2.36,False
7,0,"Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News","['bitcoin', 'organization', 'currency', 'organizations', 'interest']","0","0","0",5.49,False
8,0,"The Rise And Growth of Ethereum Gets Mainstream Coverage","['ethereum', 'bitcoin', 'currency', 'said', 'value']","0","0","0",2.55,False
9,0,"Setting Up HTTP(S) Load Balancing","['load', 'load balancing', 'http', 'balancing', 'backend']","0","0","0",5.93,False
10,0,"Setting Up SSL proxy for Google Cloud Load Balancing","['ssl', 'proxy', 'health', 'instances', 'load']","0","0","0",12.28,False
11,0,"NTT to buy Dell's services division for $3.05 billion","['billion', 'systems', 'company', 'markets', 'services']","0","0","0",0.87,False
12,0,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job","['sharing', 'uber', 'demand', 'companies', 'startups']","0","0","0",7.03,False
13,0,"The internet of a billion things | ET CIO","['internet', 'iot', 'per', 'term', 'car']","0","0","0",3.03,False
14,0,"Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles","['ethereum', 'bitcoin', 'money', 'git', 'energy']","0","0","0",2.52,False
15,0,"Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk","['startups', 'blockchain', 'startup', 'smart', 'develop']","0","0","0",0.59,False
16,0,"Using Gamified Hacking Challenges To Attract New Blockchain Developers","['challenges', 'blockchain', 'uber', 'bitcoin', 'job']","0","0","0",1.94,False
17,0,"From fine wine to lotteries: Blockchain tech takes off - BBC News","['blockchain', 'smart', 'says', 'financial', 'ethereum']","0","0","0",3.11,False
18,0,"Google DeepMind Is Now Analysing Magic And Hearthstone Cards","['card', 'text', 'games', 'language', 'code']","0","0","0",1.75,False
19,0,"How OKCupid Changed Hiring Forever.","['data science', 'data', 'potential', 'much', 'science']","0","0","0",2.85,False
20,0,"The Hierarchy of Engagement - Greylock Perspectives","['products', 'product', 'thinking', 'companies', 'framework']","0","0","0",0.90,False
21,0,"Welcome Google Cloud Platform!","['node js', 'js', 'node', 'platform', 'google']","0","0","0",0.89,False
22,0,"Hopper raises $16 million for a travel app that tells you the best time to fly","['app', 'million', 'percent', 'american', 'company']","0","0","0",2.51,False
